claim_id,engagement_ref,adviser_ref,claim_date,claim_category,amount_gbp,row_type,submitted_by
CLM-030,ENG-014,A-00014,2025-03-06,HOSPITALITY,350.0,LINE_ITEM,Mark Davies
CLM-031,ENG-014,A-00014,2025-03-08,TRAVEL,350.0,LINE_ITEM,Mark Davies
CLM-032,ENG-014,A-00014,2025-03-08,ACCOMMODATION,200.0,LINE_ITEM,Mark Davies
CLM-033,ENG-015,A-00015,2025-03-10,HOSPITALITY,300.0,LINE_ITEM,Sarah Johnson
CLM-034,ENG-015,A-00015,2025-03-12,TRAVEL,350.0,LINE_ITEM,Sarah Johnson
CLM-035,ENG-016,A-00016,2025-03-12,HOSPITALITY,300.0,LINE_ITEM,Emma Wilson
CLM-036,ENG-016,A-00016,2025-03-14,TRAVEL,300.0,LINE_ITEM,Emma Wilson
CLM-037,ENG-016,A-00016,2025-03-20,ACCOMMODATION,200.0,LINE_ITEM,Emma Wilson
CLM-038,ENG-017,A-00017,2025-03-14,HOSPITALITY,250.0,LINE_ITEM,Liam Thompson
CLM-039,ENG-017,A-00017,2025-03-16,TRAVEL,350.0,LINE_ITEM,Liam Thompson
CLM-040,ENG-018,A-00018,2025-03-17,HOSPITALITY,350.0,LINE_ITEM,Olivia Martin
CLM-041,ENG-018,A-00018,2025-03-19,TRAVEL,300.0,LINE_ITEM,Olivia Martin
CLM-042,ENG-018,A-00018,2025-03-19,ACCOMMODATION,100.0,LINE_ITEM,Olivia Martin
CLM-043,ENG-019,A-00019,2025-03-19,HOSPITALITY,300.0,LINE_ITEM,Noah Anderson
CLM-044,ENG-019,A-00019,2025-03-21,TRAVEL,350.0,LINE_ITEM,Noah Anderson
CLM-045,ENG-020,A-00020,2025-03-21,HOSPITALITY,200.0,LINE_ITEM,Sarah Johnson
CLM-046,ENG-020,A-00020,2025-03-23,TRAVEL,350.0,LINE_ITEM,Sarah Johnson
CLM-047,ENG-021,A-00021,2025-03-24,HOSPITALITY,350.0,LINE_ITEM,Mark Davies
CLM-048,ENG-021,A-00021,2025-04-02,TRAVEL,250.0,LINE_ITEM,Mark Davies
CLM-049,ENG-022,A-00022,2025-03-26,HOSPITALITY,350.0,LINE_ITEM,Emma Wilson
CLM-050,ENG-022,A-00022,2025-03-28,TRAVEL,350.0,LINE_ITEM,Emma Wilson
CLM-051,ENG-023,A-00023,2025-03-28,HOSPITALITY,350.0,LINE_ITEM,Liam Thompson
CLM-052,ENG-023,A-00023,2025-03-30,TRAVEL,300.0,LINE_ITEM,Liam Thompson
CLM-053,ENG-023,A-00023,2025-03-30,ACCOMMODATION,150.0,LINE_ITEM,Liam Thompson
CLM-054,ENG-024,A-00024,2025-04-02,HOSPITALITY,200.0,LINE_ITEM,Olivia Martin
CLM-055,ENG-024,A-00024,2025-04-10,TRAVEL,200.0,LINE_ITEM,Olivia Martin
CLM-056,ENG-025,A-00025,2025-04-04,HOSPITALITY,200.0,LINE_ITEM,Noah Anderson
CLM-057,ENG-025,A-00025,2025-04-06,TRAVEL,350.0,LINE_ITEM,Noah Anderson
CLM-058,ENG-026,A-00001,2025-04-07,HOSPITALITY,250.0,LINE_ITEM,Sarah Johnson
CLM-059,ENG-026,A-00001,2025-04-09,TRAVEL,350.0,LINE_ITEM,Sarah Johnson
CLM-060,ENG-027,A-00004,2025-04-09,HOSPITALITY,350.0,LINE_ITEM,Mark Davies
CLM-061,ENG-027,A-00004,2025-04-11,TRAVEL,350.0,LINE_ITEM,Mark Davies
CLM-062,ENG-027,A-00004,2025-04-11,ACCOMMODATION,200.0,LINE_ITEM,Mark Davies
CLM-063,ENG-028,A-00002,2025-04-11,HOSPITALITY,300.0,LINE_ITEM,Emma Wilson
CLM-064,ENG-028,A-00002,2025-04-13,TRAVEL,400.0,LINE_ITEM,Emma Wilson
CLM-065,ENG-029,A-00003,2025-04-14,HOSPITALITY,400.0,LINE_ITEM,Liam Thompson
CLM-066,ENG-029,A-00003,2025-04-16,TRAVEL,600.0,LINE_ITEM,Liam Thompson
CLM-067,ENG-029,A-00003,2025-04-22,ACCOMMODATION,1000.0,LINE_ITEM,Liam Thompson
CLM-068,ENG-030,A-00005,2025-04-16,HOSPITALITY,350.0,LINE_ITEM,Olivia Martin
CLM-069,ENG-030,A-00005,2025-04-18,TRAVEL,350.0,LINE_ITEM,Olivia Martin
CLM-070,ENG-031,A-00009,2025-04-18,HOSPITALITY,250.0,LINE_ITEM,Noah Anderson
CLM-071,ENG-031,A-00009,2025-04-20,TRAVEL,350.0,LINE_ITEM,Noah Anderson
CLM-072,ENG-032,A-00010,2025-04-22,HOSPITALITY,350.0,LINE_ITEM,Sarah Johnson
CLM-073,ENG-032,A-00010,2025-04-24,TRAVEL,350.0,LINE_ITEM,Sarah Johnson
CLM-074,ENG-033,A-00008,2025-04-24,HOSPITALITY,300.0,LINE_ITEM,Mark Davies
CLM-075,ENG-033,A-00008,2025-05-02,TRAVEL,300.0,LINE_ITEM,Mark Davies
CLM-076,ENG-034,A-00015,2025-04-28,HOSPITALITY,250.0,LINE_ITEM,Emma Wilson
CLM-077,ENG-034,A-00015,2025-04-30,TRAVEL,350.0,LINE_ITEM,Emma Wilson
CLM-078,ENG-035,A-00020,2025-04-30,HOSPITALITY,350.0,LINE_ITEM,Liam Thompson
CLM-079,ENG-035,A-00020,2025-05-02,TRAVEL,400.0,LINE_ITEM,Liam Thompson
CLM-080,ENG-036,A-00012,2025-03-15,HOSPITALITY,280.0,LINE_ITEM,Olivia Martin
CLM-081,ENG-037,A-00008,2025-03-20,TRAVEL,320.0,LINE_ITEM,Noah Anderson
CLM-082,ENG-038,A-00020,2025-04-01,HOSPITALITY,240.0,LINE_ITEM,Sarah Johnson
CLM-083,ENG-015,A-00026,2025-03-10,HOSPITALITY,250.0,LINE_ITEM,Emma Wilson
CLM-084,ENG-022,A-00027,2025-03-26,TRAVEL,310.0,LINE_ITEM,Mark Davies
CLM-085,ENG-030,A-00028,2025-04-16,HOSPITALITY,275.0,LINE_ITEM,Liam Thompson
QS-Q1-001,QUARTERLY_SETTLEMENT_Q1_2025,A-00001,2025-04-05,QUARTERLY_SETTLEMENT,600.0,QUARTERLY_SETTLEMENT,Finance Team
QS-Q1-002,QUARTERLY_SETTLEMENT_Q1_2025,A-00002,2025-04-05,QUARTERLY_SETTLEMENT,700.0,QUARTERLY_SETTLEMENT,Finance Team
QS-Q1-003,QUARTERLY_SETTLEMENT_Q1_2025,A-00003,2025-04-05,QUARTERLY_SETTLEMENT,600.0,QUARTERLY_SETTLEMENT,Finance Team
QS-Q1-004,QUARTERLY_SETTLEMENT_Q1_2025,A-00004,2025-04-05,QUARTERLY_SETTLEMENT,800.0,QUARTERLY_SETTLEMENT,Finance Team
QS-Q1-005,QUARTERLY_SETTLEMENT_Q1_2025,A-00005,2025-04-05,QUARTERLY_SETTLEMENT,550.0,QUARTERLY_SETTLEMENT,Finance Team
QS-Q1-006,QUARTERLY_SETTLEMENT_Q1_2025,A-00006,2025-04-05,QUARTERLY_SETTLEMENT,550.0,QUARTERLY_SETTLEMENT,Finance Team
QS-Q1-007,QUARTERLY_SETTLEMENT_Q1_2025,A-00007,2025-04-05,QUARTERLY_SETTLEMENT,900.0,QUARTERLY_SETTLEMENT,Finance Team
QS-Q1-008,QUARTERLY_SETTLEMENT_Q1_2025,A-00008,2025-04-05,QUARTERLY_SETTLEMENT,700.0,QUARTERLY_SETTLEMENT,Finance Team
QS-Q1-009,QUARTERLY_SETTLEMENT_Q1_2025,A-00009,2025-04-05,QUARTERLY_SETTLEMENT,600.0,QUARTERLY_SETTLEMENT,Finance Team
QS-Q1-010,QUARTERLY_SETTLEMENT_Q1_2025,A-00010,2025-04-05,QUARTERLY_SETTLEMENT,700.0,QUARTERLY_SETTLEMENT,Finance Team
